! This data is for documentation purposes only. It corresponds to a real source 
! at mm wavelength, with some artificial errors added in all columns.
! Use of this data outside testing and documentation for MUTIS is not allowed.
! jyear, I [mJy], dI [mJy]
jyear,I,dI
2007.3366841269224,4.038323906796637,0.18
2007.3841268225747,3.6648376632636337,0.2
2007.6032279529006,1.4875715292591558,0.09
2007.665542974591,1.245084554753965,0.07
2007.714793816156,0.6001927658583546,0.04
2007.7774830132325,1.4034739617578693,0.06
2008.4220427235512,3.006209312497533,0.17
2008.4672735633037,3.3571999631647875,0.18
2008.5110154862987,5.077323365528606,0.2
2008.5800174334533,3.8702850425274726,0.2
2008.6910697346611,4.166134124398796,0.23
2008.7660794451688,6.464382563033576,0.24
2009.7395635147288,1.2904548752583824,0.06
2009.7983515053972,0.9629314019843584,0.07
2009.9591403729903,1.6475658115473555,0.08
2010.425061914312,2.2760979406258475,0.1
2010.488684493425,1.2769000427949675,0.08
2010.559174423992,1.4701708384542858,0.07
2010.7778912602637,1.3984837560937693,0.09
2011.0326495952506,1.3731270164886176,0.07
2011.0497631171213,1.439162099857798,0.07
2011.4426462773122,1.2804808130970615,0.08
2011.475336853845,1.3244882894627286,0.08
2011.4757473246034,1.8187692803325377,0.08
2011.5698176113895,0.9722459761965406,0.08
2011.5998537207422,1.550506431052344,0.08
2011.6598106824172,1.7619519413494606,0.07
2011.7436381679875,1.707990753978176,0.09
2011.7504310475806,1.3904427892623483,0.08
2011.7589900239836,1.1219593806662411,0.09
2011.9522684365384,2.195982961751944,0.1
2012.2481362805365,1.9799141832643188,0.08
2012.393572764968,1.605768619401198,0.07
2012.5978198868859,0.9765461097248157,0.07
2012.7044495780272,1.1510047049950234,0.07
2012.8221536162143,1.0812389963192799,0.08
2012.9942284673482,0.5744037362041841,0.06
2013.0328199479993,0.5548985181531216,0.05
2013.4072070042866,0.8459599935754627,0.05
2013.5103413624454,1.0615981514998691,0.05
2013.520489002738,0.9865061772358066,0.04
2013.6508885815826,1.295775144760225,0.06
2013.6669943559516,1.5076829108906764,0.06
2013.7028151436843,0.9618186358519767,0.06
2013.9608673460077,1.4429377616781565,0.06
2013.9671139113248,0.4397302069992908,0.05
2014.1979071180026,1.0223676661871275,0.05
2014.338490152959,1.428139425393091,0.06
2014.35450799788,1.0614663073438495,0.05
2014.624209878752,1.3878912900716087,0.07
2014.677055023213,0.9040199061576444,0.078
2014.74901642732,2.074734593027118,0.1
2014.794476475587,1.544906845457999,0.094
2014.8363841888256,0.9695167113850323,0.079
2014.8456270268769,1.9256426032055909,0.087
2014.9142387087393,1.7365917341229262,0.1
2015.206905650487,2.871471667737263,0.13
2015.2088760524189,2.6786254736030024,0.126
2015.233084341689,2.245078437135437,0.123
2015.3720677376573,1.4469612128017437,0.122
2015.4096539749169,2.4696940377457905,0.138
2015.4255100883347,2.343056458987279,0.134
2015.4913618241026,3.9092483154185085,0.159
2015.5355533233253,3.8298401804602307,0.177
2015.5797389933173,4.894925657848624,0.21
2015.6642960596594,3.1893151004445057,0.178
2015.7192867572385,3.795796602698921,0.158
2015.7389161491094,2.7674717385660483,0.12
2015.7406334389525,2.0733540283356504,0.154
2015.7638620857579,2.139464495911429,0.113
2015.9050645366074,2.3535510976793153,0.102
2015.9710473500293,2.633253047761043,0.098
2016.1176246853272,2.470668340220785,0.123
2016.1836877382414,1.8396949763967394,0.114
2016.310725047911,1.0180941180799312,0.091
2016.358729194528,1.811243146297893,0.1
2016.4642978549211,1.6767104962233275,0.111
2016.8996895262505,1.5529796536635985,0.081
2016.9760175068452,1.5289318185633498,0.081
2017.1494249174898,2.1106666989740623,0.084
2017.2629841977075,1.901041658818914,0.103
2017.4033245713497,2.107401357301658,0.076
2017.435952257953,2.019135750891001,0.082
2017.6865014570428,0.8503812618751763,0.048
2017.7437160591926,1.2228362396816366,0.057
2017.7878604627208,0.8243439636062355,0.065
2017.9052882169467,0.9549222754779345,0.068
2018.0250256603929,2.1698763422929113,0.088
2018.0384538341084,1.9533822444547286,0.088
2018.2839705599404,1.4621794082625919,0.07
2018.7449487915103,1.4464487206674528,0.061
2018.9141885203494,0.4353541874156952,0.024
2019.1117517964278,0.24928470399813218,0.019
2019.4017868047463,0.7883614134265148,0.035
2019.4424999794933,0.8557549977759408,0.042
2019.5452583542772,1.0742540188891143,0.048
2019.6391598130576,1.5661108009411218,0.064
2019.6654204456092,1.1430378249130762,0.062
2019.9507435397277,1.1410375279445155,0.057
2020.1258693742484,1.6951362374951544,0.079
2020.4297037164067,0.9108546687659389,0.052
2020.4453971035102,1.9402850345880116,0.111
2020.5077059576904,1.4824001475024933,0.111
2020.6501452097543,2.2360219269814974,0.112
2020.7501059456642,1.9265057621321149,0.113
